Customer ID,Address,City,Feedback ID,Feedback Date,Feedback Type,Resolution Status,Resolution Date
75,Address_75,San Antonio,75,6/24/2023,Suggestion,Pending,5/19/2023
76,Address_76,Tucson,76,10/11/2023,Suggestion,Pending,3/31/2023
77,Address_77,San Antonio,77,8/2/2023,Praise,Pending,5/29/2023
78,Address_78,Las Vegas,78,10/4/2023,Suggestion,Resolved,9/11/2023
79,Address_79,Austin,79,4/15/2023,Praise,Resolved,8/22/2023
80,Address_80,Dallas,80,10/20/2023,Praise,Pending,6/16/2023
81,Address_81,Fort Worth,81,6/17/2023,Complaint,Resolved,12/16/2023
82,Address_82,Sacramento,82,5/6/2023,Complaint,Resolved,4/4/2023
83,Address_83,Houston,83,8/13/2023,Praise,Resolved,3/19/2023
84,Address_84,Mesa,84,10/30/2023,Complaint,Pending,7/11/2023
85,Address_85,Louisville,85,3/4/2023,Praise,Resolved,4/13/2023
86,Address_86,San Jose,86,8/23/2023,Suggestion,Resolved,3/18/2023
87,Address_87,El Paso,87,7/2/2023,Complaint,Pending,2/24/2023
88,Address_88,Denver,88,7/7/2023,Complaint,Pending,3/19/2023
89,Address_89,Atlanta,89,3/3/2023,Praise,Pending,2/19/2023
90,Address_90,Colorado Springs,90,8/1/2023,Suggestion,Resolved,8/25/2023
91,Address_91,Las Vegas,91,2/24/2023,Complaint,Pending,4/8/2023
92,Address_92,Indianapolis,92,1/3/2023,Complaint,Pending,5/11/2023
93,Address_93,Tucson,93,9/29/2023,Praise,Pending,8/18/2023
94,Address_94,Fort Worth,94,2/22/2023,Suggestion,Resolved,7/27/2023
95,Address_95,Fresno,95,2/24/2023,Praise,Pending,4/26/2023
96,Address_96,San Antonio,96,11/12/2023,Complaint,Resolved,4/26/2023
97,Address_97,Austin,97,2/24/2023,Suggestion,Resolved,7/25/2023
98,Address_98,Milwaukee,98,5/26/2023,Praise,Resolved,6/23/2023
99,Address_99,Memphis,99,9/17/2023,Suggestion,Pending,2/10/2023
100,Address_100,San Jose,100,8/22/2023,Praise,Resolved,3/31/2023
101,Address_101,Milwaukee,101,5/17/2023,Complaint,Pending,12/17/2023
102,Address_102,Los Angeles,102,1/7/2023,Praise,Resolved,5/7/2023
103,Address_103,Colorado Springs,103,2/25/2023,Complaint,Pending,7/9/2023
104,Address_104,Charlotte,104,7/7/2023,Complaint,Pending,4/28/2023
105,Address_105,Austin,105,10/13/2023,Praise,Pending,6/5/2023
106,Address_106,Fresno,106,1/19/2023,Suggestion,Resolved,9/20/2023
107,Address_107,Colorado Springs,107,2/27/2023,Complaint,Pending,2/11/2023
108,Address_108,Houston,108,12/11/2023,Praise,Resolved,3/15/2023
109,Address_109,Austin,109,4/11/2023,Suggestion,Pending,8/1/2023
110,Address_110,Memphis,110,4/29/2023,Suggestion,Pending,11/4/2023
111,Address_111,Los Angeles,111,5/4/2023,Suggestion,Pending,12/14/2023
112,Address_112,Indianapolis,112,10/9/2023,Praise,Pending,9/26/2023
113,Address_113,Colorado Springs,113,8/18/2023,Praise,Pending,12/8/2023
114,Address_114,San Jose,114,10/18/2023,Suggestion,Resolved,4/14/2023
115,Address_115,Atlanta,115,6/26/2023,Praise,Pending,10/28/2023
116,Address_116,San Francisco,116,3/21/2023,Suggestion,Resolved,8/6/2023
117,Address_117,Nashville,117,6/26/2023,Suggestion,Resolved,8/27/2023
118,Address_118,Denver,118,11/14/2023,Suggestion,Pending,9/15/2023
119,Address_119,San Antonio,119,8/31/2023,Complaint,Resolved,9/6/2023
120,Address_120,Kansas City,120,9/10/2023,Suggestion,Resolved,6/28/2023
121,Address_121,San Diego,121,1/18/2023,Suggestion,Pending,3/22/2023
122,Address_122,San Jose,122,1/19/2023,Complaint,Resolved,1/12/2023
123,Address_123,Atlanta,123,1/7/2023,Praise,Resolved,8/22/2023
124,Address_124,Los Angeles,124,5/31/2023,Suggestion,Resolved,1/18/2023
125,Address_125,Austin,125,3/8/2023,Praise,Pending,9/19/2023
126,Address_126,Las Vegas,126,1/3/2023,Praise,Resolved,7/25/2023
127,Address_127,Philadelphia,127,11/5/2023,Suggestion,Pending,6/21/2023
128,Address_128,Detroit,128,1/29/2023,Complaint,Pending,1/7/2023
129,Address_129,San Antonio,129,3/9/2023,Praise,Resolved,1/31/2023
130,Address_130,Colorado Springs,130,2/10/2023,Suggestion,Pending,1/6/2023
131,Address_131,Denver,131,7/2/2023,Praise,Resolved,12/22/2023
132,Address_132,Philadelphia,132,7/13/2023,Complaint,Resolved,4/21/2023
133,Address_133,Memphis,133,9/13/2023,Praise,Resolved,2/23/2023
134,Address_134,Colorado Springs,134,10/22/2023,Complaint,Resolved,3/30/2023
135,Address_135,Los Angeles,135,11/6/2023,Suggestion,Resolved,2/11/2023
136,Address_136,Denver,136,12/28/2023,Praise,Resolved,3/26/2023
137,Address_137,Houston,137,1/13/2023,Complaint,Resolved,9/18/2023
138,Address_138,Philadelphia,138,9/4/2023,Praise,Pending,4/1/2023
139,Address_139,Atlanta,139,12/29/2023,Praise,Resolved,6/28/2023
140,Address_140,Louisville,140,10/19/2023,Praise,Resolved,6/12/2023
141,Address_141,Baltimore,141,1/28/2023,Praise,Resolved,11/20/2023
142,Address_142,San Antonio,142,10/18/2023,Complaint,Resolved,12/16/2023
143,Address_143,Dallas,143,7/29/2023,Praise,Resolved,2/25/2023
144,Address_144,Boston,144,7/20/2023,Suggestion,Resolved,12/19/2023
145,Address_145,Tucson,145,4/27/2023,Praise,Pending,3/5/2023
146,Address_146,New York,146,9/15/2023,Suggestion,Pending,11/3/2023
147,Address_147,Philadelphia,147,4/22/2023,Praise,Resolved,6/4/2023
148,Address_148,Seattle,148,6/15/2023,Suggestion,Resolved,5/2/2023
149,Address_149,Jacksonville,149,4/4/2023,Praise,Pending,7/25/2023
150,Address_150,Louisville,150,3/2/2023,Praise,Pending,11/5/2023
151,Address_151,Austin,151,8/8/2023,Praise,Resolved,7/29/2023
152,Address_152,Tucson,152,8/8/2023,Complaint,Pending,8/22/2023
153,Address_153,New York,153,8/13/2023,Suggestion,Pending,7/29/2023
154,Address_154,San Jose,154,8/17/2023,Suggestion,Resolved,8/2/2023
155,Address_155,Atlanta,155,12/13/2023,Suggestion,Resolved,11/20/2023
156,Address_156,Oklahoma City,156,7/7/2023,Suggestion,Pending,1/20/2023
157,Address_157,New York,157,7/20/2023,Complaint,Pending,4/18/2023
158,Address_158,Chicago,158,12/5/2023,Complaint,Pending,7/27/2023
159,Address_159,Seattle,159,4/28/2023,Complaint,Pending,8/11/2023
160,Address_160,Columbus,160,8/26/2023,Suggestion,Pending,3/13/2023
161,Address_161,Milwaukee,161,6/23/2023,Suggestion,Resolved,1/20/2023
162,Address_162,Portland,162,9/18/2023,Suggestion,Resolved,6/19/2023
163,Address_163,San Francisco,163,7/7/2023,Praise,Pending,9/28/2023
164,Address_164,Memphis,164,12/9/2023,Complaint,Resolved,8/8/2023
165,Address_165,Mesa,165,6/29/2023,Complaint,Resolved,2/20/2023
166,Address_166,Atlanta,166,11/24/2023,Praise,Pending,3/21/2023
167,Address_167,Detroit,167,6/15/2023,Complaint,Pending,11/24/2023
168,Address_168,San Francisco,168,4/3/2023,Complaint,Pending,11/28/2023
169,Address_169,Washington,169,3/29/2023,Suggestion,Pending,8/1/2023
170,Address_170,Boston,170,4/5/2023,Praise,Pending,11/15/2023
171,Address_171,Los Angeles,171,8/15/2023,Complaint,Resolved,6/7/2023
172,Address_172,Washington,172,5/28/2023,Suggestion,Pending,10/7/2023
173,Address_173,Phoenix,173,2/11/2023,Praise,Resolved,6/27/2023
174,Address_174,Houston,174,4/6/2023,Praise,Resolved,7/11/2023
175,Address_175,Mesa,175,7/23/2023,Complaint,Resolved,6/13/2023
176,Address_176,Philadelphia,176,7/16/2023,Suggestion,Resolved,6/18/2023
177,Address_177,Nashville,177,6/17/2023,Complaint,Pending,8/13/2023
178,Address_178,San Jose,178,12/31/2023,Praise,Pending,10/27/2023
179,Address_179,Atlanta,179,2/9/2023,Praise,Resolved,5/3/2023
180,Address_180,Boston,180,10/25/2023,Praise,Pending,11/5/2023
181,Address_181,Detroit,181,6/12/2023,Suggestion,Pending,3/31/2023
182,Address_182,Colorado Springs,182,10/19/2023,Suggestion,Resolved,9/17/2023
183,Address_183,Oklahoma City,183,5/1/2023,Suggestion,Pending,2/12/2023
184,Address_184,Tucson,184,11/26/2023,Suggestion,Pending,4/19/2023
185,Address_185,Columbus,185,8/9/2023,Suggestion,Pending,12/24/2023
186,Address_186,Mesa,186,8/16/2023,Suggestion,Resolved,10/10/2023
187,Address_187,San Francisco,187,5/24/2023,Complaint,Resolved,3/7/2023
188,Address_188,Nashville,188,8/7/2023,Suggestion,Pending,7/26/2023
189,Address_189,Indianapolis,189,8/18/2023,Suggestion,Resolved,11/9/2023
190,Address_190,Indianapolis,190,5/1/2023,Complaint,Pending,10/20/2023
191,Address_191,Oklahoma City,191,6/6/2023,Praise,Pending,12/24/2023
192,Address_192,Memphis,192,5/8/2023,Praise,Resolved,6/12/2023
193,Address_193,Louisville,193,12/20/2023,Praise,Pending,5/24/2023
194,Address_194,San Diego,194,5/19/2023,Praise,Resolved,5/17/2023
195,Address_195,Las Vegas,195,8/11/2023,Suggestion,Pending,11/28/2023
196,Address_196,Chicago,196,7/5/2023,Suggestion,Resolved,4/25/2023
197,Address_197,Boston,197,10/21/2023,Complaint,Pending,4/13/2023
198,Address_198,Denver,198,9/5/2023,Praise,Resolved,10/7/2023
199,Address_199,Tucson,199,2/24/2023,Suggestion,Resolved,12/20/2023
200,Address_200,Los Angeles,200,8/21/2023,Complaint,Resolved,9/27/2023
201,Address_201,Charlotte,201,12/10/2023,Suggestion,Pending,12/7/2023
202,Address_202,Washington,202,7/31/2023,Suggestion,Resolved,5/14/2023
203,Address_203,Jacksonville,203,11/17/2023,Praise,Resolved,6/16/2023
204,Address_204,Seattle,204,12/1/2023,Suggestion,Resolved,10/3/2023
205,Address_205,Washington,205,12/8/2023,Suggestion,Resolved,5/30/2023
206,Address_206,Portland,206,12/24/2023,Praise,Resolved,4/14/2023
207,Address_207,San Jose,207,6/13/2023,Praise,Resolved,7/5/2023
208,Address_208,Tucson,208,10/14/2023,Suggestion,Pending,8/14/2023
209,Address_209,Phoenix,209,7/24/2023,Praise,Pending,9/8/2023
210,Address_210,Detroit,210,10/10/2023,Suggestion,Pending,11/20/2023
211,Address_211,San Jose,211,9/3/2023,Praise,Resolved,8/9/2023
212,Address_212,Portland,212,5/11/2023,Suggestion,Resolved,2/16/2023
213,Address_213,Columbus,213,1/2/2023,Complaint,Resolved,5/26/2023
214,Address_214,Las Vegas,214,3/6/2023,Praise,Resolved,6/18/2023
215,Address_215,Chicago,215,6/12/2023,Complaint,Pending,10/4/2023
216,Address_216,Baltimore,216,7/8/2023,Suggestion,Pending,9/6/2023
217,Address_217,Sacramento,217,9/25/2023,Suggestion,Resolved,3/27/2023
218,Address_218,Columbus,218,1/28/2023,Praise,Resolved,5/31/2023
219,Address_219,Fort Worth,219,9/11/2023,Praise,Pending,5/25/2023
220,Address_220,Louisville,220,6/28/2023,Complaint,Resolved,11/12/2023
221,Address_221,Memphis,221,8/3/2023,Complaint,Pending,8/9/2023
222,Address_222,San Francisco,222,4/19/2023,Praise,Pending,8/24/2023
223,Address_223,Omaha,223,7/13/2023,Praise,Resolved,4/2/2023
224,Address_224,Nashville,224,2/7/2023,Praise,Pending,3/23/2023
225,Address_225,El Paso,225,3/13/2023,Suggestion,Resolved,12/3/2023
226,Address_226,Oklahoma City,226,2/10/2023,Complaint,Pending,11/30/2023
227,Address_227,Austin,227,4/17/2023,Suggestion,Resolved,10/27/2023
228,Address_228,Fresno,228,11/22/2023,Praise,Pending,2/1/2023
229,Address_229,Jacksonville,229,7/24/2023,Suggestion,Resolved,7/29/2023
230,Address_230,Jacksonville,230,11/14/2023,Complaint,Pending,11/29/2023
231,Address_231,Philadelphia,231,12/1/2023,Praise,Pending,8/9/2023
232,Address_232,Mesa,232,8/3/2023,Praise,Pending,12/25/2023
233,Address_233,Las Vegas,233,3/11/2023,Complaint,Pending,8/6/2023
234,Address_234,Fort Worth,234,2/15/2023,Complaint,Pending,3/27/2023
235,Address_235,El Paso,235,8/20/2023,Suggestion,Resolved,1/31/2023
236,Address_236,Portland,236,1/21/2023,Praise,Pending,7/27/2023
237,Address_237,Atlanta,237,11/9/2023,Complaint,Pending,6/2/2023
238,Address_238,Philadelphia,238,10/18/2023,Praise,Pending,5/20/2023
239,Address_239,New York,239,11/10/2023,Suggestion,Pending,6/18/2023
240,Address_240,Philadelphia,240,6/5/2023,Complaint,Pending,3/17/2023
241,Address_241,Washington,241,7/26/2023,Complaint,Resolved,8/26/2023
242,Address_242,Las Vegas,242,10/12/2023,Praise,Resolved,8/24/2023
243,Address_243,Boston,243,10/27/2023,Praise,Resolved,3/6/2023
244,Address_244,Charlotte,244,6/21/2023,Complaint,Resolved,9/19/2023
245,Address_245,Detroit,245,11/27/2023,Complaint,Pending,3/10/2023
246,Address_246,San Diego,246,11/11/2023,Praise,Resolved,12/5/2023
247,Address_247,Las Vegas,247,1/6/2023,Suggestion,Pending,8/27/2023
248,Address_248,Kansas City,248,2/17/2023,Praise,Resolved,4/6/2023
249,Address_249,Philadelphia,249,9/29/2023,Praise,Resolved,3/10/2023
250,Address_250,Sacramento,250,7/1/2023,Suggestion,Resolved,1/11/2023
251,Address_251,New York,251,4/8/2023,Suggestion,Resolved,4/18/2023
252,Address_252,Mesa,252,5/27/2023,Praise,Pending,9/20/2023
253,Address_253,Fort Worth,253,4/2/2023,Complaint,Pending,12/28/2023
254,Address_254,Kansas City,254,7/8/2023,Complaint,Pending,4/1/2023
255,Address_255,Austin,255,7/27/2023,Suggestion,Pending,6/5/2023
256,Address_256,Fort Worth,256,6/21/2023,Praise,Pending,5/22/2023
257,Address_257,Colorado Springs,257,10/4/2023,Praise,Pending,12/30/2023
258,Address_258,San Antonio,258,10/17/2023,Praise,Pending,6/19/2023
259,Address_259,Austin,259,2/13/2023,Suggestion,Resolved,2/1/2023
260,Address_260,Mesa,260,5/30/2023,Suggestion,Resolved,1/17/2023
261,Address_261,Milwaukee,261,7/15/2023,Praise,Resolved,10/11/2023
262,Address_262,Tucson,262,8/19/2023,Suggestion,Pending,12/15/2023
263,Address_263,San Jose,263,12/1/2023,Praise,Resolved,6/2/2023
264,Address_264,Seattle,264,2/11/2023,Suggestion,Resolved,3/28/2023
265,Address_265,Las Vegas,265,10/13/2023,Complaint,Resolved,10/29/2023
266,Address_266,Dallas,266,5/23/2023,Complaint,Resolved,11/29/2023
267,Address_267,Milwaukee,267,4/19/2023,Complaint,Resolved,5/30/2023
268,Address_268,Jacksonville,268,9/16/2023,Suggestion,Pending,1/31/2023
269,Address_269,Los Angeles,269,10/8/2023,Complaint,Resolved,11/22/2023
270,Address_270,Kansas City,270,8/18/2023,Complaint,Resolved,2/1/2023
271,Address_271,Charlotte,271,5/30/2023,Complaint,Resolved,7/27/2023
272,Address_272,Chicago,272,6/5/2023,Praise,Resolved,8/5/2023
273,Address_273,Milwaukee,273,1/5/2023,Suggestion,Resolved,8/15/2023
274,Address_274,Philadelphia,274,2/16/2023,Complaint,Resolved,12/21/2023
275,Address_275,Chicago,275,7/23/2023,Praise,Resolved,5/27/2023
276,Address_276,Austin,276,11/9/2023,Praise,Pending,2/9/2023
277,Address_277,Charlotte,277,1/2/2023,Complaint,Pending,12/17/2023
278,Address_278,Louisville,278,11/8/2023,Praise,Resolved,5/4/2023
279,Address_279,Jacksonville,279,8/5/2023,Complaint,Pending,2/18/2023
280,Address_280,Kansas City,280,6/30/2023,Suggestion,Resolved,7/2/2023
281,Address_281,San Antonio,281,2/27/2023,Complaint,Resolved,3/21/2023
282,Address_282,Charlotte,282,7/7/2023,Praise,Resolved,12/30/2023
283,Address_283,Seattle,283,2/10/2023,Complaint,Resolved,2/11/2023
284,Address_284,Seattle,284,9/20/2023,Suggestion,Pending,6/24/2023
285,Address_285,Las Vegas,285,3/1/2023,Praise,Pending,5/30/2023
286,Address_286,Los Angeles,286,12/29/2023,Praise,Pending,6/25/2023
287,Address_287,Omaha,287,12/29/2023,Complaint,Pending,3/18/2023
288,Address_288,Oklahoma City,288,8/26/2023,Complaint,Pending,6/11/2023
289,Address_289,Fresno,289,12/11/2023,Praise,Resolved,2/21/2023
290,Address_290,Detroit,290,4/27/2023,Praise,Pending,1/15/2023
291,Address_291,San Antonio,291,12/2/2023,Suggestion,Pending,7/6/2023
292,Address_292,Kansas City,292,9/15/2023,Complaint,Resolved,11/8/2023
293,Address_293,Baltimore,293,3/19/2023,Suggestion,Pending,12/31/2023
294,Address_294,Phoenix,294,9/16/2023,Praise,Resolved,8/5/2023
295,Address_295,Austin,295,8/1/2023,Complaint,Pending,8/12/2023
296,Address_296,New York,296,12/29/2023,Praise,Resolved,5/19/2023
297,Address_297,Fresno,297,9/28/2023,Praise,Pending,2/23/2023
298,Address_298,New York,298,9/29/2023,Praise,Pending,3/28/2023
299,Address_299,Denver,299,5/8/2023,Suggestion,Resolved,10/18/2023
300,Address_300,Los Angeles,300,4/26/2023,Suggestion,Resolved,10/17/2023
301,Address_301,Nashville,301,8/14/2023,Praise,Resolved,6/28/2023
302,Address_302,Oklahoma City,302,6/3/2023,Complaint,Pending,8/13/2023
303,Address_303,El Paso,303,1/31/2023,Suggestion,Pending,5/1/2023
304,Address_304,Nashville,304,12/8/2023,Praise,Resolved,6/6/2023
305,Address_305,Las Vegas,305,6/26/2023,Praise,Pending,11/29/2023
306,Address_306,Houston,306,10/12/2023,Praise,Resolved,10/20/2023
307,Address_307,Fort Worth,307,8/8/2023,Praise,Pending,4/16/2023
308,Address_308,Washington,308,6/20/2023,Suggestion,Resolved,12/22/2023
309,Address_309,Oklahoma City,309,6/25/2023,Suggestion,Pending,8/24/2023
310,Address_310,Seattle,310,10/27/2023,Praise,Resolved,2/13/2023
311,Address_311,New York,311,11/20/2023,Suggestion,Pending,6/14/2023
312,Address_312,Baltimore,312,12/5/2023,Suggestion,Pending,4/10/2023
313,Address_313,Tucson,313,2/9/2023,Complaint,Resolved,11/12/2023
314,Address_314,Las Vegas,314,8/3/2023,Praise,Resolved,11/17/2023
315,Address_315,Columbus,315,11/3/2023,Complaint,Resolved,1/10/2023
316,Address_316,Mesa,316,3/12/2023,Suggestion,Pending,9/14/2023
317,Address_317,Phoenix,317,11/8/2023,Suggestion,Pending,5/1/2023
318,Address_318,Austin,318,12/12/2023,Praise,Resolved,3/26/2023
319,Address_319,Las Vegas,319,9/15/2023,Suggestion,Pending,11/6/2023
320,Address_320,Milwaukee,320,6/20/2023,Suggestion,Resolved,10/11/2023
321,Address_321,San Jose,321,12/27/2023,Suggestion,Pending,6/20/2023
322,Address_322,Indianapolis,322,2/10/2023,Praise,Pending,3/6/2023
323,Address_323,Las Vegas,323,2/12/2023,Praise,Pending,9/20/2023
324,Address_324,San Jose,324,2/15/2023,Suggestion,Pending,8/25/2023
325,Address_325,Las Vegas,325,8/19/2023,Suggestion,Resolved,1/10/2023
326,Address_326,Detroit,326,1/5/2023,Suggestion,Pending,5/26/2023
327,Address_327,Los Angeles,327,4/16/2023,Complaint,Resolved,9/9/2023
328,Address_328,Indianapolis,328,12/10/2023,Suggestion,Pending,12/29/2023
329,Address_329,Kansas City,329,10/29/2023,Praise,Resolved,1/27/2023
330,Address_330,New York,330,2/26/2023,Suggestion,Pending,5/31/2023
331,Address_331,Austin,331,7/18/2023,Suggestion,Pending,10/12/2023
332,Address_332,Sacramento,332,7/19/2023,Praise,Pending,5/22/2023
333,Address_333,Memphis,333,1/23/2023,Complaint,Pending,11/29/2023
334,Address_334,Atlanta,334,1/7/2023,Suggestion,Resolved,8/2/2023
335,Address_335,San Francisco,335,9/19/2023,Praise,Resolved,9/25/2023
336,Address_336,Colorado Springs,336,3/30/2023,Suggestion,Resolved,11/17/2023
337,Address_337,Louisville,337,7/12/2023,Suggestion,Pending,2/19/2023
338,Address_338,Memphis,338,12/19/2023,Suggestion,Pending,1/23/2023
339,Address_339,Chicago,339,6/22/2023,Praise,Pending,2/17/2023
340,Address_340,Jacksonville,340,10/4/2023,Suggestion,Pending,9/9/2023
341,Address_341,Columbus,341,7/26/2023,Praise,Resolved,6/14/2023
342,Address_342,Fort Worth,342,4/12/2023,Suggestion,Pending,11/12/2023
343,Address_343,Baltimore,343,12/8/2023,Praise,Resolved,9/13/2023
344,Address_344,Albuquerque,344,6/9/2023,Complaint,Resolved,4/21/2023
345,Address_345,Albuquerque,345,7/28/2023,Suggestion,Resolved,6/2/2023
346,Address_346,Albuquerque,346,8/16/2023,Praise,Pending,10/27/2023
347,Address_347,Detroit,347,9/26/2023,Suggestion,Resolved,11/21/2023
348,Address_348,New York,348,10/21/2023,Praise,Resolved,7/23/2023
349,Address_349,Los Angeles,349,10/27/2023,Praise,Resolved,4/19/2023
350,Address_350,San Francisco,350,8/3/2023,Praise,Resolved,2/2/2023
351,Address_351,Baltimore,351,4/30/2023,Complaint,Resolved,1/11/2023
352,Address_352,Colorado Springs,352,4/19/2023,Complaint,Resolved,11/13/2023
353,Address_353,San Antonio,353,12/3/2023,Suggestion,Resolved,2/6/2023
354,Address_354,Portland,354,3/23/2023,Praise,Resolved,1/14/2023
355,Address_355,Dallas,355,10/9/2023,Suggestion,Resolved,3/23/2023
356,Address_356,Washington,356,11/11/2023,Complaint,Resolved,12/10/2023
357,Address_357,Fresno,357,4/20/2023,Suggestion,Resolved,4/27/2023
358,Address_358,New York,358,4/1/2023,Complaint,Pending,11/21/2023
359,Address_359,Dallas,359,2/23/2023,Complaint,Resolved,8/16/2023
360,Address_360,Oklahoma City,360,8/1/2023,Suggestion,Pending,10/7/2023
361,Address_361,Denver,361,12/12/2023,Praise,Resolved,7/3/2023
362,Address_362,Mesa,362,12/11/2023,Praise,Pending,5/11/2023
363,Address_363,Omaha,363,5/22/2023,Praise,Pending,5/5/2023
364,Address_364,Houston,364,5/18/2023,Complaint,Pending,2/19/2023
365,Address_365,Dallas,365,9/12/2023,Suggestion,Pending,10/2/2023
